"Site","Stream","precip","Date"
"HC7","House Creek",0,2012-03-07
"LBC8","Little Brier Creek",0,2012-03-07
"MC9","Marsh Creek",0,2012-03-07
"MC10","Mine Creek",0,2012-03-07
"PC11","Perry Creek",0,2012-03-07
"PHB12","Pigeon House Branch",0,2012-03-07
"RC13","Richland Creek",0,2012-03-07
"RC14","Richland Creek-WF",0,2012-03-07
"RB15","Rocky Branch",0,2012-03-07
"SC16","Sycamore Creek",0,2012-03-07
"TC17","Turkey Creek",0,2012-03-07
"WC18","Walnut Creek",0,2012-03-07
"BDB1","Beaverdam Branch",0,2012-03-08
"BB2","Big Branch",0,2012-03-08
"BBS3","Big Branch South",0,2012-03-08
"CC4","Crabtree Creek",0,2012-03-08
"CC5","Crabtree Creek",0,2012-03-08
"HSC6","Hare Snipe Creek",0,2012-03-08
"HC7","House Creek",0,2012-03-08
"LBC8","Little Brier Creek",0,2012-03-08
"MC9","Marsh Creek",0,2012-03-08
"MC10","Mine Creek",0,2012-03-08
"PC11","Perry Creek",0,2012-03-08
"PHB12","Pigeon House Branch",0,2012-03-08
"RC13","Richland Creek",0,2012-03-08
"RC14","Richland Creek-WF",0,2012-03-08
"RB15","Rocky Branch",0,2012-03-08
"SC16","Sycamore Creek",0,2012-03-08
"TC17","Turkey Creek",0,2012-03-08
"WC18","Walnut Creek",0,2012-03-08
"BDB1","Beaverdam Branch",3.74699997901917,2012-03-09
"BB2","Big Branch",2.91400003433228,2012-03-09
"BBS3","Big Branch South",0.648999989032745,2012-03-09
"CC4","Crabtree Creek",4.55999994277954,2012-03-09
"CC5","Crabtree Creek",1.87100005149841,2012-03-09
"HSC6","Hare Snipe Creek",4.55999994277954,2012-03-09
"HC7","House Creek",3.74699997901917,2012-03-09
"LBC8","Little Brier Creek",7.30000019073486,2012-03-09
"MC9","Marsh Creek",1.87100005149841,2012-03-09
"MC10","Mine Creek",3.74699997901917,2012-03-09
"PC11","Perry Creek",4.17799997329712,2012-03-09
"PHB12","Pigeon House Branch",2.77900004386902,2012-03-09
"RC13","Richland Creek",4.55999994277954,2012-03-09
"RC14","Richland Creek-WF",5.22300004959106,2012-03-09
"RB15","Rocky Branch",2.61500000953674,2012-03-09
"SC16","Sycamore Creek",4.55999994277954,2012-03-09
"TC17","Turkey Creek",4.55999994277954,2012-03-09
"WC18","Walnut Creek",1.39699995517731,2012-03-09
"BDB1","Beaverdam Branch",0.00600000005215406,2012-03-10
"BB2","Big Branch",0.0109999999403954,2012-03-10
"BBS3","Big Branch South",0.446000009775162,2012-03-10
"CC4","Crabtree Creek",0,2012-03-10
"CC5","Crabtree Creek",0.0309999994933605,2012-03-10
"HSC6","Hare Snipe Creek",0,2012-03-10
"HC7","House Creek",0.00600000005215406,2012-03-10
"LBC8","Little Brier Creek",0,2012-03-10
"MC9","Marsh Creek",0.0309999994933605,2012-03-10
"MC10","Mine Creek",0.00600000005215406,2012-03-10
"PC11","Perry Creek",0.331000000238419,2012-03-10
"PHB12","Pigeon House Branch",0.00999999977648258,2012-03-10
"RC13","Richland Creek",0,2012-03-10
"RC14","Richland Creek-WF",0.757000029087067,2012-03-10
"RB15","Rocky Branch",0.319000005722046,2012-03-10
"SC16","Sycamore Creek",0,2012-03-10
"TC17","Turkey Creek",0,2012-03-10
"WC18","Walnut Creek",0.33899998664856,2012-03-10
"BDB1","Beaverdam Branch",0,2012-03-11
"BB2","Big Branch",0,2012-03-11
"BBS3","Big Branch South",0,2012-03-11
"CC4","Crabtree Creek",0,2012-03-11
"CC5","Crabtree Creek",0,2012-03-11
"HSC6","Hare Snipe Creek",0,2012-03-11
"HC7","House Creek",0,2012-03-11
"LBC8","Little Brier Creek",0,2012-03-11
"MC9","Marsh Creek",0,2012-03-11
"MC10","Mine Creek",0,2012-03-11
"PC11","Perry Creek",0,2012-03-11
"PHB12","Pigeon House Branch",0,2012-03-11
"RC13","Richland Creek",0,2012-03-11
"RC14","Richland Creek-WF",0,2012-03-11
"RB15","Rocky Branch",0,2012-03-11
"SC16","Sycamore Creek",0,2012-03-11
"TC17","Turkey Creek",0,2012-03-11
"WC18","Walnut Creek",0,2012-03-11
"BDB1","Beaverdam Branch",0,2012-03-12
"BB2","Big Branch",0,2012-03-12
"BBS3","Big Branch South",0,2012-03-12
"CC4","Crabtree Creek",0,2012-03-12
"CC5","Crabtree Creek",0,2012-03-12
"HSC6","Hare Snipe Creek",0,2012-03-12
"HC7","House Creek",0,2012-03-12
"LBC8","Little Brier Creek",0,2012-03-12
"MC9","Marsh Creek",0,2012-03-12
"MC10","Mine Creek",0,2012-03-12
"PC11","Perry Creek",0,2012-03-12
"PHB12","Pigeon House Branch",0,2012-03-12
"RC13","Richland Creek",0,2012-03-12
"RC14","Richland Creek-WF",0,2012-03-12
"RB15","Rocky Branch",0,2012-03-12
"SC16","Sycamore Creek",0,2012-03-12
"TC17","Turkey Creek",0,2012-03-12
"WC18","Walnut Creek",0,2012-03-12
"BDB1","Beaverdam Branch",0.559000015258789,2012-03-13
"BB2","Big Branch",0.419999986886978,2012-03-13
"BBS3","Big Branch South",0,2012-03-13
"CC4","Crabtree Creek",0.354999989271164,2012-03-13
"CC5","Crabtree Creek",0.0020000000949949,2012-03-13
"HSC6","Hare Snipe Creek",0.354999989271164,2012-03-13
"HC7","House Creek",0.559000015258789,2012-03-13
"LBC8","Little Brier Creek",0.708999991416931,2012-03-13
"MC9","Marsh Creek",0.0020000000949949,2012-03-13
"MC10","Mine Creek",0.559000015258789,2012-03-13
"PC11","Perry Creek",0.529999971389771,2012-03-13
"PHB12","Pigeon House Branch",0,2012-03-13
"RC13","Richland Creek",0.354999989271164,2012-03-13
"RC14","Richland Creek-WF",0.529999971389771,2012-03-13
"RB15","Rocky Branch",0,2012-03-13
"SC16","Sycamore Creek",0.354999989271164,2012-03-13
"TC17","Turkey Creek",0.354999989271164,2012-03-13
"WC18","Walnut Creek",0,2012-03-13
"BDB1","Beaverdam Branch",0,2012-03-14
"BB2","Big Branch",0,2012-03-14
"BBS3","Big Branch South",0.430999994277954,2012-03-14
"CC4","Crabtree Creek",0,2012-03-14
"CC5","Crabtree Creek",0.0240000002086163,2012-03-14
"HSC6","Hare Snipe Creek",0,2012-03-14
"HC7","House Creek",0,2012-03-14
"LBC8","Little Brier Creek",0,2012-03-14
"MC9","Marsh Creek",0.0240000002086163,2012-03-14
"MC10","Mine Creek",0,2012-03-14
"PC11","Perry Creek",0,2012-03-14
"PHB12","Pigeon House Branch",0,2012-03-14
"RC13","Richland Creek",0,2012-03-14
"RC14","Richland Creek-WF",0,2012-03-14
"RB15","Rocky Branch",0.103000000119209,2012-03-14
"SC16","Sycamore Creek",0,2012-03-14
"TC17","Turkey Creek",0,2012-03-14
"WC18","Walnut Creek",0.157000005245209,2012-03-14
"BDB1","Beaverdam Branch",0,2012-03-15
"BB2","Big Branch",0,2012-03-15
"BBS3","Big Branch South",0,2012-03-15
"CC4","Crabtree Creek",0,2012-03-15
"CC5","Crabtree Creek",0,2012-03-15
"HSC6","Hare Snipe Creek",0,2012-03-15
"HC7","House Creek",0,2012-03-15
"LBC8","Little Brier Creek",0,2012-03-15
"MC9","Marsh Creek",0,2012-03-15
"MC10","Mine Creek",0,2012-03-15
"PC11","Perry Creek",0,2012-03-15
"PHB12","Pigeon House Branch",0,2012-03-15
"RC13","Richland Creek",0,2012-03-15
"RC14","Richland Creek-WF",0,2012-03-15
"RB15","Rocky Branch",0,2012-03-15
"SC16","Sycamore Creek",0,2012-03-15
"TC17","Turkey Creek",0,2012-03-15
"WC18","Walnut Creek",0,2012-03-15
"BDB1","Beaverdam Branch",0,2012-03-16
"BB2","Big Branch",0,2012-03-16
"BBS3","Big Branch South",0,2012-03-16
"CC4","Crabtree Creek",0,2012-03-16
"CC5","Crabtree Creek",0,2012-03-16
"HSC6","Hare Snipe Creek",0,2012-03-16
"HC7","House Creek",0,2012-03-16
"LBC8","Little Brier Creek",0,2012-03-16
"MC9","Marsh Creek",0,2012-03-16
"MC10","Mine Creek",0,2012-03-16
"PC11","Perry Creek",0,2012-03-16
"PHB12","Pigeon House Branch",0,2012-03-16
"RC13","Richland Creek",0,2012-03-16
"RC14","Richland Creek-WF",0,2012-03-16
"RB15","Rocky Branch",0,2012-03-16
"SC16","Sycamore Creek",0,2012-03-16
"TC17","Turkey Creek",0,2012-03-16
"WC18","Walnut Creek",0,2012-03-16
"BDB1","Beaverdam Branch",5.21400022506714,2012-03-17
"BB2","Big Branch",4.30900001525879,2012-03-17
"BBS3","Big Branch South",3.69600009918213,2012-03-17
"CC4","Crabtree Creek",4.84100008010864,2012-03-17
"CC5","Crabtree Creek",4.3730001449585,2012-03-17
"HSC6","Hare Snipe Creek",4.84100008010864,2012-03-17
"HC7","House Creek",5.21400022506714,2012-03-17
"LBC8","Little Brier Creek",5.33300018310547,2012-03-17
"MC9","Marsh Creek",4.3730001449585,2012-03-17
"MC10","Mine Creek",5.21400022506714,2012-03-17
"PC11","Perry Creek",5.73400020599365,2012-03-17
"PHB12","Pigeon House Branch",4.13700008392334,2012-03-17
"RC13","Richland Creek",4.84100008010864,2012-03-17
"RC14","Richland Creek-WF",3.33400011062622,2012-03-17
"RB15","Rocky Branch",3.8659999370575,2012-03-17
"SC16","Sycamore Creek",4.84100008010864,2012-03-17
"TC17","Turkey Creek",4.84100008010864,2012-03-17
"WC18","Walnut Creek",4.65899991989136,2012-03-17
"BDB1","Beaverdam Branch",28.2509994506836,2012-03-18
"BB2","Big Branch",29.2600002288818,2012-03-18
"BBS3","Big Branch South",10.7840003967285,2012-03-18
"CC4","Crabtree Creek",21.9559993743896,2012-03-18
"CC5","Crabtree Creek",17.6219997406006,2012-03-18
"HSC6","Hare Snipe Creek",21.9559993743896,2012-03-18
"HC7","House Creek",28.2509994506836,2012-03-18
"LBC8","Little Brier Creek",23.0300006866455,2012-03-18
"MC9","Marsh Creek",17.6219997406006,2012-03-18
"MC10","Mine Creek",28.2509994506836,2012-03-18
"PC11","Perry Creek",9.56700038909912,2012-03-18
"PHB12","Pigeon House Branch",26.3269996643066,2012-03-18
"RC13","Richland Creek",21.9559993743896,2012-03-18
"RC14","Richland Creek-WF",0.878000020980835,2012-03-18
"RB15","Rocky Branch",13.4139995574951,2012-03-18
"SC16","Sycamore Creek",21.9559993743896,2012-03-18
"TC17","Turkey Creek",21.9559993743896,2012-03-18
"WC18","Walnut Creek",10.0209999084473,2012-03-18
"BDB1","Beaverdam Branch",0,2012-03-19
"BB2","Big Branch",0,2012-03-19
"BBS3","Big Branch South",0,2012-03-19
"CC4","Crabtree Creek",0,2012-03-19
"CC5","Crabtree Creek",0,2012-03-19
"HSC6","Hare Snipe Creek",0,2012-03-19
"HC7","House Creek",0,2012-03-19
"LBC8","Little Brier Creek",0,2012-03-19
"MC9","Marsh Creek",0,2012-03-19
"MC10","Mine Creek",0,2012-03-19
"PC11","Perry Creek",0,2012-03-19
"PHB12","Pigeon House Branch",0,2012-03-19
"RC13","Richland Creek",0,2012-03-19
"RC14","Richland Creek-WF",0,2012-03-19
"RB15","Rocky Branch",0,2012-03-19
"SC16","Sycamore Creek",0,2012-03-19
"TC17","Turkey Creek",0,2012-03-19
"WC18","Walnut Creek",0,2012-03-19
"BDB1","Beaverdam Branch",10.4049997329712,2012-03-20
"BB2","Big Branch",9.22399997711182,2012-03-20
"BBS3","Big Branch South",9.27700042724609,2012-03-20
"CC4","Crabtree Creek",11.5120000839233,2012-03-20
"CC5","Crabtree Creek",8.39599990844727,2012-03-20
"HSC6","Hare Snipe Creek",11.5120000839233,2012-03-20
"HC7","House Creek",10.4049997329712,2012-03-20
"LBC8","Little Brier Creek",17.30299949646,2012-03-20
"MC9","Marsh Creek",8.39599990844727,2012-03-20
"MC10","Mine Creek",10.4049997329712,2012-03-20
"PC11","Perry Creek",5.40299987792969,2012-03-20
"PHB12","Pigeon House Branch",10.5270004272461,2012-03-20
"RC13","Richland Creek",11.5120000839233,2012-03-20
"RC14","Richland Creek-WF",4.96000003814697,2012-03-20
"RB15","Rocky Branch",9.61800003051758,2012-03-20
"SC16","Sycamore Creek",11.5120000839233,2012-03-20
"TC17","Turkey Creek",11.5120000839233,2012-03-20
"WC18","Walnut Creek",6.70800018310547,2012-03-20
"BDB1","Beaverdam Branch",17.3309993743896,2012-03-21
"BB2","Big Branch",18.9930000305176,2012-03-21
"BBS3","Big Branch South",18.9389991760254,2012-03-21
"CC4","Crabtree Creek",19.1380004882812,2012-03-21
"CC5","Crabtree Creek",19.9659996032715,2012-03-21
"HSC6","Hare Snipe Creek",19.1380004882812,2012-03-21
"HC7","House Creek",17.3309993743896,2012-03-21
"LBC8","Little Brier Creek",23.3649997711182,2012-03-21
"MC9","Marsh Creek",19.9659996032715,2012-03-21
"MC10","Mine Creek",17.3309993743896,2012-03-21
"PC11","Perry Creek",18.1459999084473,2012-03-21
"PHB12","Pigeon House Branch",18.5590000152588,2012-03-21
"RC13","Richland Creek",19.1380004882812,2012-03-21
"RC14","Richland Creek-WF",14.0570001602173,2012-03-21
"RB15","Rocky Branch",18.0739994049072,2012-03-21
"SC16","Sycamore Creek",19.1380004882812,2012-03-21
"TC17","Turkey Creek",19.1380004882812,2012-03-21
"WC18","Walnut Creek",9.53400039672852,2012-03-21
"BDB1","Beaverdam Branch",0,2012-03-22
"BB2","Big Branch",0,2012-03-22
"BBS3","Big Branch South",0,2012-03-22
"CC4","Crabtree Creek",0,2012-03-22
"CC5","Crabtree Creek",0,2012-03-22
"HSC6","Hare Snipe Creek",0,2012-03-22
"HC7","House Creek",0,2012-03-22
"LBC8","Little Brier Creek",0,2012-03-22
"MC9","Marsh Creek",0,2012-03-22
"MC10","Mine Creek",0,2012-03-22
"PC11","Perry Creek",0,2012-03-22
"PHB12","Pigeon House Branch",0,2012-03-22
"RC13","Richland Creek",0,2012-03-22
"RC14","Richland Creek-WF",0,2012-03-22
"RB15","Rocky Branch",0,2012-03-22
"SC16","Sycamore Creek",0,2012-03-22
"TC17","Turkey Creek",0,2012-03-22
"WC18","Walnut Creek",0,2012-03-22
"BDB1","Beaverdam Branch",0,2012-03-23
"BB2","Big Branch",0,2012-03-23
"BBS3","Big Branch South",0,2012-03-23
"CC4","Crabtree Creek",0,2012-03-23
"CC5","Crabtree Creek",0,2012-03-23
"HSC6","Hare Snipe Creek",0,2012-03-23
"HC7","House Creek",0,2012-03-23
"LBC8","Little Brier Creek",0,2012-03-23
"MC9","Marsh Creek",0,2012-03-23
"MC10","Mine Creek",0,2012-03-23
"PC11","Perry Creek",0,2012-03-23
"PHB12","Pigeon House Branch",0,2012-03-23
"RC13","Richland Creek",0,2012-03-23
"RC14","Richland Creek-WF",0,2012-03-23
"RB15","Rocky Branch",0,2012-03-23
"SC16","Sycamore Creek",0,2012-03-23
"TC17","Turkey Creek",0,2012-03-23
"WC18","Walnut Creek",0,2012-03-23
"BDB1","Beaverdam Branch",8.07900047302246,2012-03-24
"BB2","Big Branch",6.81500005722046,2012-03-24
"BBS3","Big Branch South",9.35799980163574,2012-03-24
"CC4","Crabtree Creek",8.51500034332275,2012-03-24
"CC5","Crabtree Creek",6.03200006484985,2012-03-24
"HSC6","Hare Snipe Creek",8.51500034332275,2012-03-24
"HC7","House Creek",8.07900047302246,2012-03-24
"LBC8","Little Brier Creek",2.06100010871887,2012-03-24
"MC9","Marsh Creek",6.03200006484985,2012-03-24
"MC10","Mine Creek",8.07900047302246,2012-03-24
"PC11","Perry Creek",6.51999998092651,2012-03-24
"PHB12","Pigeon House Branch",8.77700042724609,2012-03-24
"RC13","Richland Creek",8.51500034332275,2012-03-24
"RC14","Richland Creek-WF",8.66800022125244,2012-03-24
"RB15","Rocky Branch",9.80900001525879,2012-03-24
"SC16","Sycamore Creek",8.51500034332275,2012-03-24
"TC17","Turkey Creek",8.51500034332275,2012-03-24
"WC18","Walnut Creek",9.84500026702881,2012-03-24
"BDB1","Beaverdam Branch",22.6410007476807,2012-03-25
"BB2","Big Branch",24.1389999389648,2012-03-25
"BBS3","Big Branch South",16.988000869751,2012-03-25
"CC4","Crabtree Creek",15.5209999084473,2012-03-25
"CC5","Crabtree Creek",22.0620002746582,2012-03-25
"HSC6","Hare Snipe Creek",15.5209999084473,2012-03-25
"HC7","House Creek",22.6410007476807,2012-03-25
"LBC8","Little Brier Creek",19.7000007629395,2012-03-25
"MC9","Marsh Creek",22.0620002746582,2012-03-25
"MC10","Mine Creek",22.6410007476807,2012-03-25
"PC11","Perry Creek",22.867000579834,2012-03-25
"PHB12","Pigeon House Branch",23.6389999389648,2012-03-25
"RC13","Richland Creek",15.5209999084473,2012-03-25
"RC14","Richland Creek-WF",20.0620002746582,2012-03-25
"RB15","Rocky Branch",19.7999992370605,2012-03-25
"SC16","Sycamore Creek",15.5209999084473,2012-03-25
"TC17","Turkey Creek",15.5209999084473,2012-03-25
"WC18","Walnut Creek",17.3449993133545,2012-03-25
"BDB1","Beaverdam Branch",1.89400005340576,2012-03-26
"BB2","Big Branch",1.53299999237061,2012-03-26
"BBS3","Big Branch South",1.81200003623962,2012-03-26
"CC4","Crabtree Creek",2.48600006103516,2012-03-26
"CC5","Crabtree Creek",1.86800003051758,2012-03-26
"HSC6","Hare Snipe Creek",2.48600006103516,2012-03-26
"HC7","House Creek",1.89400005340576,2012-03-26
"LBC8","Little Brier Creek",1.9889999628067,2012-03-26
"MC9","Marsh Creek",1.86800003051758,2012-03-26
"MC10","Mine Creek",1.89400005340576,2012-03-26
"PC11","Perry Creek",3.07800006866455,2012-03-26
"PHB12","Pigeon House Branch",1.78199994564056,2012-03-26
"RC13","Richland Creek",2.48600006103516,2012-03-26
"RC14","Richland Creek-WF",3.66899991035461,2012-03-26
"RB15","Rocky Branch",3.62700009346008,2012-03-26
"SC16","Sycamore Creek",2.48600006103516,2012-03-26
"TC17","Turkey Creek",2.48600006103516,2012-03-26
"WC18","Walnut Creek",1.22500002384186,2012-03-26
"BDB1","Beaverdam Branch",0,2012-03-27
"BB2","Big Branch",0,2012-03-27
"BBS3","Big Branch South",0,2012-03-27
"CC4","Crabtree Creek",0,2012-03-27
"CC5","Crabtree Creek",0,2012-03-27
"HSC6","Hare Snipe Creek",0,2012-03-27
"HC7","House Creek",0,2012-03-27
"LBC8","Little Brier Creek",0,2012-03-27
"MC9","Marsh Creek",0,2012-03-27
"MC10","Mine Creek",0,2012-03-27
"PC11","Perry Creek",0,2012-03-27
"PHB12","Pigeon House Branch",0,2012-03-27
"RC13","Richland Creek",0,2012-03-27
"RC14","Richland Creek-WF",0,2012-03-27
"RB15","Rocky Branch",0,2012-03-27
"SC16","Sycamore Creek",0,2012-03-27
"TC17","Turkey Creek",0,2012-03-27
"WC18","Walnut Creek",0,2012-03-27
"BDB1","Beaverdam Branch",0,2012-03-28
"BB2","Big Branch",0,2012-03-28
"BBS3","Big Branch South",0,2012-03-28
"CC4","Crabtree Creek",0,2012-03-28
"CC5","Crabtree Creek",0,2012-03-28
"HSC6","Hare Snipe Creek",0,2012-03-28
"HC7","House Creek",0,2012-03-28
"LBC8","Little Brier Creek",0,2012-03-28
"MC9","Marsh Creek",0,2012-03-28
"MC10","Mine Creek",0,2012-03-28
"PC11","Perry Creek",0,2012-03-28
"PHB12","Pigeon House Branch",0,2012-03-28
"RC13","Richland Creek",0,2012-03-28
"RC14","Richland Creek-WF",0,2012-03-28
"RB15","Rocky Branch",0,2012-03-28
"SC16","Sycamore Creek",0,2012-03-28
"TC17","Turkey Creek",0,2012-03-28
"WC18","Walnut Creek",0,2012-03-28
"BDB1","Beaverdam Branch",0,2012-03-29
"BB2","Big Branch",0,2012-03-29
"BBS3","Big Branch South",0,2012-03-29
"CC4","Crabtree Creek",0,2012-03-29
"CC5","Crabtree Creek",0,2012-03-29
"HSC6","Hare Snipe Creek",0,2012-03-29
"HC7","House Creek",0,2012-03-29
"LBC8","Little Brier Creek",0,2012-03-29
"MC9","Marsh Creek",0,2012-03-29
"MC10","Mine Creek",0,2012-03-29
"PC11","Perry Creek",0,2012-03-29
"PHB12","Pigeon House Branch",0,2012-03-29
"RC13","Richland Creek",0,2012-03-29
"RC14","Richland Creek-WF",0,2012-03-29
"RB15","Rocky Branch",0,2012-03-29
"SC16","Sycamore Creek",0,2012-03-29
"TC17","Turkey Creek",0,2012-03-29
"WC18","Walnut Creek",0,2012-03-29
"BDB1","Beaverdam Branch",0,2012-03-30
"BB2","Big Branch",0,2012-03-30
"BBS3","Big Branch South",0,2012-03-30
"CC4","Crabtree Creek",0,2012-03-30
"CC5","Crabtree Creek",0,2012-03-30
"HSC6","Hare Snipe Creek",0,2012-03-30
"HC7","House Creek",0,2012-03-30
"LBC8","Little Brier Creek",0,2012-03-30
"MC9","Marsh Creek",0,2012-03-30
"MC10","Mine Creek",0,2012-03-30
"PC11","Perry Creek",0,2012-03-30
"PHB12","Pigeon House Branch",0,2012-03-30
"RC13","Richland Creek",0,2012-03-30
"RC14","Richland Creek-WF",0,2012-03-30
"RB15","Rocky Branch",0,2012-03-30
"SC16","Sycamore Creek",0,2012-03-30
"TC17","Turkey Creek",0,2012-03-30
"WC18","Walnut Creek",0,2012-03-30
"BDB1","Beaverdam Branch",2.20799994468689,2012-03-31
"BB2","Big Branch",1.74199998378754,2012-03-31
"BBS3","Big Branch South",2.86700010299683,2012-03-31
"CC4","Crabtree Creek",1.95700001716614,2012-03-31
"CC5","Crabtree Creek",1.97000002861023,2012-03-31
"HSC6","Hare Snipe Creek",1.95700001716614,2012-03-31
"HC7","House Creek",2.20799994468689,2012-03-31
"LBC8","Little Brier Creek",2.99600005149841,2012-03-31
"MC9","Marsh Creek",1.97000002861023,2012-03-31
"MC10","Mine Creek",2.20799994468689,2012-03-31
"PC11","Perry Creek",1.61199998855591,2012-03-31
"PHB12","Pigeon House Branch",2.45099997520447,2012-03-31
"RC13","Richland Creek",1.95700001716614,2012-03-31
"RC14","Richland Creek-WF",1.74500000476837,2012-03-31
"RB15","Rocky Branch",2.86700010299683,2012-03-31
"SC16","Sycamore Creek",1.95700001716614,2012-03-31
"TC17","Turkey Creek",1.95700001716614,2012-03-31
"WC18","Walnut Creek",2.47499990463257,2012-03-31
"BDB1","Beaverdam Branch",3.71300005912781,2012-04-01
"BB2","Big Branch",2.92799997329712,2012-04-01
"BBS3","Big Branch South",6.93699979782104,2012-04-01
"CC4","Crabtree Creek",5.4060001373291,2012-04-01
"CC5","Crabtree Creek",3.61299991607666,2012-04-01
"HSC6","Hare Snipe Creek",5.4060001373291,2012-04-01
"HC7","House Creek",3.71300005912781,2012-04-01
"LBC8","Little Brier Creek",6.3899998664856,2012-04-01
"MC9","Marsh Creek",3.61299991607666,2012-04-01
"MC10","Mine Creek",3.71300005912781,2012-04-01
"PC11","Perry Creek",2.31900000572205,2012-04-01
"PHB12","Pigeon House Branch",4.56300020217896,2012-04-01
"RC13","Richland Creek",5.4060001373291,2012-04-01
"RC14","Richland Creek-WF",1.58700001239777,2012-04-01
"RB15","Rocky Branch",8.32900047302246,2012-04-01
"SC16","Sycamore Creek",5.4060001373291,2012-04-01
"TC17","Turkey Creek",5.4060001373291,2012-04-01
"WC18","Walnut Creek",4.67500019073486,2012-04-01
"BDB1","Beaverdam Branch",0,2012-04-02
"BB2","Big Branch",0,2012-04-02
"BBS3","Big Branch South",0,2012-04-02
"CC4","Crabtree Creek",0,2012-04-02
"CC5","Crabtree Creek",0,2012-04-02
"HSC6","Hare Snipe Creek",0,2012-04-02
"HC7","House Creek",0,2012-04-02
"LBC8","Little Brier Creek",0,2012-04-02
"MC9","Marsh Creek",0,2012-04-02
"MC10","Mine Creek",0,2012-04-02
"PC11","Perry Creek",0,2012-04-02
"PHB12","Pigeon House Branch",0,2012-04-02
"RC13","Richland Creek",0,2012-04-02
"RC14","Richland Creek-WF",0,2012-04-02
"RB15","Rocky Branch",0,2012-04-02
"SC16","Sycamore Creek",0,2012-04-02
"TC17","Turkey Creek",0,2012-04-02
"WC18","Walnut Creek",0,2012-04-02
"BDB1","Beaverdam Branch",0,2012-04-03
"BB2","Big Branch",0,2012-04-03
"BBS3","Big Branch South",0,2012-04-03
"CC4","Crabtree Creek",0,2012-04-03
"CC5","Crabtree Creek",0,2012-04-03
"HSC6","Hare Snipe Creek",0,2012-04-03
"HC7","House Creek",0,2012-04-03
"LBC8","Little Brier Creek",0,2012-04-03
"MC9","Marsh Creek",0,2012-04-03
"MC10","Mine Creek",0,2012-04-03
"PC11","Perry Creek",0,2012-04-03
"PHB12","Pigeon House Branch",0,2012-04-03
"RC13","Richland Creek",0,2012-04-03
"RC14","Richland Creek-WF",0,2012-04-03
"RB15","Rocky Branch",0,2012-04-03
"SC16","Sycamore Creek",0,2012-04-03
"TC17","Turkey Creek",0,2012-04-03
"WC18","Walnut Creek",0,2012-04-03
"BDB1","Beaverdam Branch",0,2012-04-04
"BB2","Big Branch",0,2012-04-04
"BBS3","Big Branch South",0,2012-04-04
"CC4","Crabtree Creek",0,2012-04-04
"CC5","Crabtree Creek",0,2012-04-04
"HSC6","Hare Snipe Creek",0,2012-04-04
"HC7","House Creek",0,2012-04-04
"LBC8","Little Brier Creek",0,2012-04-04
"MC9","Marsh Creek",0,2012-04-04
"MC10","Mine Creek",0,2012-04-04
"PC11","Perry Creek",0,2012-04-04
"PHB12","Pigeon House Branch",0,2012-04-04
"RC13","Richland Creek",0,2012-04-04
"RC14","Richland Creek-WF",0,2012-04-04
"RB15","Rocky Branch",0,2012-04-04
"SC16","Sycamore Creek",0,2012-04-04
"TC17","Turkey Creek",0,2012-04-04
"WC18","Walnut Creek",0,2012-04-04
"BDB1","Beaverdam Branch",10.960000038147,2012-04-05
"BB2","Big Branch",9.69600009918213,2012-04-05
"BBS3","Big Branch South",11.3299999237061,2012-04-05
"CC4","Crabtree Creek",9.8149995803833,2012-04-05
"CC5","Crabtree Creek",9.00899982452393,2012-04-05
"HSC6","Hare Snipe Creek",9.8149995803833,2012-04-05
"HC7","House Creek",10.960000038147,2012-04-05
"LBC8","Little Brier Creek",12.6510000228882,2012-04-05
"MC9","Marsh Creek",9.00899982452393,2012-04-05
"MC10","Mine Creek",10.960000038147,2012-04-05
"PC11","Perry Creek",11.4270000457764,2012-04-05
"PHB12","Pigeon House Branch",7.71500015258789,2012-04-05
"RC13","Richland Creek",9.8149995803833,2012-04-05
"RC14","Richland Creek-WF",8.78999996185303,2012-04-05
"RB15","Rocky Branch",10.2110004425049,2012-04-05
"SC16","Sycamore Creek",9.8149995803833,2012-04-05
"TC17","Turkey Creek",9.8149995803833,2012-04-05
"WC18","Walnut Creek",12.8500003814697,2012-04-05
"BDB1","Beaverdam Branch",5.10599994659424,2012-04-06
"BB2","Big Branch",4.85300016403198,2012-04-06
"BBS3","Big Branch South",4.59299993515015,2012-04-06
"CC4","Crabtree Creek",5.24200010299683,2012-04-06
"CC5","Crabtree Creek",4.58500003814697,2012-04-06
"HSC6","Hare Snipe Creek",5.24200010299683,2012-04-06
"HC7","House Creek",5.10599994659424,2012-04-06
"LBC8","Little Brier Creek",5.73299980163574,2012-04-06
"MC9","Marsh Creek",4.58500003814697,2012-04-06
"MC10","Mine Creek",5.10599994659424,2012-04-06
"PC11","Perry Creek",5.0019998550415,2012-04-06
"PHB12","Pigeon House Branch",4.7649998664856,2012-04-06
"RC13","Richland Creek",5.24200010299683,2012-04-06
"RC14","Richland Creek-WF",4.58799982070923,2012-04-06
"RB15","Rocky Branch",4.86100006103516,2012-04-06
"SC16","Sycamore Creek",5.24200010299683,2012-04-06
"TC17","Turkey Creek",5.24200010299683,2012-04-06
"WC18","Walnut Creek",3.98300004005432,2012-04-06
"BDB1","Beaverdam Branch",0.425999999046326,2012-04-07
"BB2","Big Branch",0.370000004768372,2012-04-07
